PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2018/01/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.25999,25555934,0.017905,5087056,4,4,170.16000,0.008516,0.011232,0.008303
14593,2018/01/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.23000,29517900,-0.000174,5087056,4,4,172.53000,0.005860,0.005103,0.006399
14593,2018/01/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,173.03000,22434597,0.004645,5087056,4,4,172.53999,0.004005,0.005272,0.004029
14593,2018/01/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.00000,23660018,0.011385,5087056,4,4,173.44000,0.005811,0.003880,0.007034
14593,2018/01/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.35001,20567766,-0.003714,5087056,4,4,174.35001,0.001817,0.000584,0.001662
14593,2018/01/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.33000,21584957,-0.000115,5087056,4,4,174.55000,0.000924,-0.001584,0.001303
14593,2018/01/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.28999,23970095,-0.000229,5087056,4,4,173.16000,-0.001507,0.000100,-0.001112
14593,2018/01/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.28000,18667729,0.005680,5087056,4,4,174.59000,0.008303,0.011966,0.007034
14593,2018/01/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,177.09000,25415580,0.010326,5087056,4,4,176.17999,0.006088,0.003715,0.006750
14593,2018/01/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,176.19000,29599936,-0.005082,5087056,4,4,177.89999,-0.004437,-0.007370,-0.003524
14593,2018/01/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,179.10001,34387136,0.016516,5087056,4,4,176.14999,0.008584,0.004769,0.009415
14593,2018/01/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,179.25999,31193352,0.000893,5087056,4,4,179.37000,-0.002002,-0.003355,-0.001616
14593,2018/01/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.46001,32429767,-0.004463,5074013,4,4,178.61000,0.005426,0.007173,0.004385
14593,2018/01/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,177.00000,27109541,-0.008181,5074013,4,4,177.30000,0.007595,0.005004,0.008067
14593,2018/01/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,177.03999,32689142,0.000226,5074013,4,4,177.30000,0.002623,0.002905,0.002174
14593,2018/01/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.22000,51114372,-0.015929,5074013,4,4,177.25000,-0.000900,-0.001853,-0.000560
14593,2018/01/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.11000,41528087,-0.017851,5074013,4,4,174.50500,0.000074,-0.000398,0.000603
14593,2018/01/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.50999,39142861,0.002338,5074013,4,4,172.00000,0.009976,0.004628,0.011841
14593,2018/01/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,167.96001,50649512,-0.020698,5074013,4,4,170.16000,-0.006919,-0.007809,-0.006732
14593,2018/01/30,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,166.97000,46054075,-0.005894,5074013,4,4,165.52499,-0.010203,-0.010015,-0.010899
14593,2018/01/31,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,167.42999,32480017,0.002755,5074013,4,4,166.87000,0.000148,-0.002694,0.000489
14593,2018/02/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,167.78000,47231571,0.002090,5074013,4,4,167.16499,-0.000262,-0.000633,-0.000648
14593,2018/02/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,160.50000,86594027,-0.043390,5074013,4,4,166.00000,-0.020883,-0.018847,-0.021209
14593,2018/02/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,156.49001,72762180,-0.024984,5074013,4,4,159.10001,-0.038054,-0.027854,-0.040979
14593,2018/02/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,163.03000,68243731,0.041792,5074013,4,4,154.83000,0.015332,0.008436,0.017441
14593,2018/02/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,159.53999,52358204,-0.021407,5074013,4,4,163.08501,-0.004176,-0.000454,-0.005002
14593,2018/02/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.14999,56390381,-0.027517,5074013,4,4,160.28999,-0.034727,-0.022941,-0.037536
14593,2018/02/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,156.41000,71499574,0.012182,5074013,4,4,157.07001,0.012295,0.002426,0.014936
14593,2018/02/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,162.71001,61819638,0.040279,5074013,4,4,158.50000,0.013234,0.010865,0.013915
14593,2018/02/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,164.34000,32567631,0.010018,5074013,4,4,161.95000,0.002899,0.003372,0.002613
14593,2018/02/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,167.37000,40644933,0.018437,5074013,4,4,163.04500,0.014379,0.012807,0.013402
14593,2018/02/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.99001,51206372,0.033578,5074013,4,4,169.78999,0.011121,0.007357,0.012069
14593,2018/02/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.42999,40176067,-0.003237,5074013,4,4,172.36000,0.000366,0.001361,0.000373
14593,2018/02/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.85001,33932378,-0.003364,5074013,4,4,172.05000,-0.006290,-0.006603,-0.005841
14593,2018/02/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.07001,37472728,-0.004539,5074013,4,4,172.83000,-0.004406,-0.000251,-0.005497
14593,2018/02/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.50000,31010840,0.008359,5074013,4,4,171.80000,0.000218,-0.001503,0.000974
14593,2018/02/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.50000,33812360,0.017391,5074013,4,4,173.67000,0.014668,0.009611,0.016028
14593,2018/02/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.97000,38172285,0.019772,5074013,4,4,176.35001,0.010007,0.005807,0.011757
14593,2018/02/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.39000,38935123,-0.003241,5074013,4,4,179.10001,-0.012564,-0.011787,-0.012707
14593,2018/02/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.12000,37782135,-0.001514,5074013,4,4,179.25999,-0.011047,-0.009711,-0.011096
14593,2018/03/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.00000,48802761,-0.017516,5074013,4,4,178.53999,-0.010800,-0.003841,-0.013324
14593,2018/03/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,176.21001,38453839,0.006914,5074013,4,4,172.80000,0.005880,0.009519,0.005072
14593,2018/03/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,176.82001,28406363,0.003462,5074013,4,4,175.21001,0.010139,0.007872,0.011032
14593,2018/03/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,176.67000,23795179,-0.000848,5074013,4,4,177.91000,0.004151,0.005592,0.002639
14593,2018/03/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.03000,31703462,-0.009283,5074013,4,4,174.94000,0.000451,0.002498,-0.000484
14593,2018/03/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,176.94000,23776107,0.010912,5074013,4,4,175.48000,0.003650,0.001971,0.004463
14593,2018/03/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,179.98000,32185714,0.017181,5074013,4,4,177.96001,0.015766,0.010643,0.017379
14593,2018/03/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,181.72000,32207081,0.009668,5074013,4,4,180.28999,-0.000152,0.003359,-0.001274
14593,2018/03/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,179.97000,31692529,-0.009630,5074013,4,4,182.59000,-0.006186,-0.004327,-0.006364
14593,2018/03/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.44000,29359877,-0.008501,5074013,4,4,180.32001,-0.004597,-0.002565,-0.005724
14593,2018/03/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.64999,22743958,0.001177,5074013,4,4,178.50000,-0.002205,-0.004407,-0.000782
14593,2018/03/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.02000,39403996,-0.003526,5074013,4,4,178.64999,0.002438,0.005377,0.001703
14593,2018/03/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.30000,33449671,-0.015279,5074013,4,4,177.32001,-0.012921,-0.009042,-0.014204
14593,2018/03/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.24001,19650550,-0.000342,5074013,4,4,175.24001,0.001341,-0.001227,0.001482
14593,2018/03/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.27000,37054949,-0.022655,5074013,4,4,175.03999,0.000421,0.005376,-0.001844
14593,2018/03/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,168.85001,41489579,-0.014130,5074013,4,4,170.00000,-0.023915,-0.015429,-0.025163
14593,2018/03/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,164.94000,41025084,-0.023157,5074013,4,4,168.39000,-0.019305,-0.013460,-0.020967
14593,2018/03/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.77000,37541166,0.047472,5074013,4,4,168.07001,0.024256,0.011327,0.027157
14593,2018/03/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,168.34000,40916589,-0.025641,5074013,4,4,173.67999,-0.016582,-0.012416,-0.017276
14593,2018/03/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,166.48000,43728354,-0.011049,5074013,4,4,167.25000,-0.002591,-0.003210,-0.002917
14593,2018/03/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,167.78000,38249455,0.007809,4943282,4,4,167.80499,0.013469,0.009276,0.013770
14593,2018/04/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,166.67999,37615961,-0.006556,4943282,4,4,167.88000,-0.021375,-0.016113,-0.022337
14593,2018/04/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,168.39000,30277946,0.010259,4943282,4,4,167.64000,0.011520,0.006839,0.012615
14593,2018/04/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.61000,34597715,0.019122,4943282,4,4,164.88000,0.010371,0.008931,0.011566
14593,2018/04/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.80000,26929947,0.006934,4943282,4,4,172.58000,0.007413,0.006964,0.006863
14593,2018/04/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,168.38000,35003572,-0.025579,4943282,4,4,170.97000,-0.019993,-0.012568,-0.021920
14593,2018/04/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.05000,29014717,0.009918,4943282,4,4,169.88000,0.002851,0.000648,0.003337
14593,2018/04/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,173.25000,28611623,0.018818,4943282,4,4,173.00000,0.016424,0.013854,0.016727
14593,2018/04/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.44000,22429342,-0.004675,4943282,4,4,172.23000,-0.003801,0.001802,-0.005525
14593,2018/04/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.14000,22888185,0.009858,4943282,4,4,173.41000,0.006941,0.004143,0.008251
14593,2018/04/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.73000,25123155,0.003388,4943282,4,4,174.78000,-0.003074,-0.002309,-0.002887
14593,2018/04/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.82001,21577221,0.006238,4943282,4,4,175.03011,0.008010,0.004759,0.008109
14593,2018/04/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,178.24001,26601346,0.013764,4943282,4,4,176.49001,0.010300,0.007900,0.010662
14593,2018/04/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,177.84000,20744500,-0.002244,4943282,4,4,177.81000,0.001631,0.003093,0.000831
14593,2018/04/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.80000,34813413,-0.028340,4943282,4,4,174.95000,-0.005398,-0.004882,-0.005726
14593,2018/04/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,165.72000,65469524,-0.040972,4915138,4,4,170.59500,-0.007468,-0.005071,-0.008537
14593,2018/04/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,165.24001,36519781,-0.002896,4915138,4,4,166.83501,-0.000446,-0.002690,0.000056
14593,2018/04/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,162.94000,33673170,-0.013919,4915138,4,4,165.67000,-0.011384,-0.005320,-0.013381
