PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2019/01/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,157.92000,37066356,0.001141,4729803,4,4,154.89000,0.001796,0.017126,0.001269
14593,2019/01/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,142.19000,91373695,-0.099607,4729803,4,4,143.98000,-0.021043,-0.009454,-0.024757
14593,2019/01/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,148.25999,58603001,0.042689,4729803,4,4,144.53000,0.033410,0.030804,0.034336
14593,2019/01/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,147.92999,54770364,-0.002226,4729803,4,4,148.70000,0.009202,0.016144,0.007010
14593,2019/01/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.75000,41026062,0.019063,4729803,4,4,149.56000,0.010269,0.010358,0.009695
14593,2019/01/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.31000,45098881,0.016982,4729803,4,4,151.28999,0.006199,0.010306,0.004098
14593,2019/01/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.80000,35778275,0.003196,4729803,4,4,152.50000,0.004474,0.002611,0.004518
14593,2019/01/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.28999,27017204,-0.009818,4729803,4,4,152.88000,-0.000152,0.001293,-0.000146
14593,2019/01/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.00000,32468877,-0.015037,4729803,4,4,150.85001,-0.005465,-0.005852,-0.005258
14593,2019/01/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.07001,28707624,0.020467,4729803,4,4,150.27000,0.009839,0.006546,0.010722
14593,2019/01/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,154.94000,31038506,0.012217,4729803,4,4,153.08000,0.003177,0.004831,0.002222
14593,2019/01/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.86000,29820196,0.005938,4729803,4,4,154.20000,0.007082,0.005101,0.007591
14593,2019/01/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,156.82001,33747398,0.006159,4715280,4,4,157.50000,0.012032,0.008534,0.013183
14593,2019/01/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.30000,30390836,-0.022446,4715280,4,4,156.41000,-0.014150,-0.013514,-0.014157
14593,2019/01/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.92000,23128770,0.004044,4715280,4,4,154.14999,0.001313,-0.000571,0.002203
14593,2019/01/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.70000,25439969,-0.007926,4715280,4,4,154.11000,0.002789,0.005460,0.001376
14593,2019/01/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,157.75999,33543693,0.033137,4715280,4,4,155.48000,0.009553,0.010818,0.008489
14593,2019/01/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,156.30000,26189758,-0.009255,4715280,4,4,155.78999,-0.006493,-0.003899,-0.007847
14593,2019/01/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,154.67999,41582339,-0.010365,4715280,4,4,156.25000,-0.000918,0.000164,-0.001456
14593,2019/01/30,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,165.25000,61110767,0.068335,4715280,4,4,163.25000,0.014357,0.009789,0.015549
14593,2019/01/31,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,166.44000,40735850,0.007201,4715280,4,4,166.11000,0.008467,0.007008,0.008597
14593,2019/02/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,166.52000,32678838,0.000481,4715280,4,4,166.96001,0.001418,0.002960,0.000899
14593,2019/02/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.25000,31493982,0.028405,4715280,4,4,167.41000,0.006692,0.007317,0.006776
14593,2019/02/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.17999,36099339,0.017109,4715280,4,4,172.86000,0.004392,0.002633,0.004708
14593,2019/02/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.24001,28234691,0.000345,4715280,4,4,174.64999,-0.002529,-0.001374,-0.002224
14593,2019/02/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.94000,31758590,-0.018939,4715280,4,4,172.39999,-0.008815,-0.009004,-0.009357
14593,2019/02/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.41000,23818606,0.001170,4715280,4,4,168.99001,0.000651,-0.001107,0.000676
14593,2019/02/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,169.42999,20992225,-0.005751,4715280,4,4,171.05000,0.001262,0.003731,0.000709
14593,2019/02/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.89000,22289660,0.008617,4715280,4,4,170.10001,0.012367,0.010086,0.012890
14593,2019/02/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.17999,22492533,-0.004155,4715280,4,4,171.39000,0.002782,0.003827,0.003024
14593,2019/02/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.80000,21833598,0.003643,4715280,4,4,169.71001,-0.001423,0.000674,-0.002652
14593,2019/02/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.42000,24625614,-0.002225,4715280,4,4,171.25000,0.010835,0.009520,0.010879
14593,2019/02/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,170.92999,19268826,0.002993,4715280,4,4,169.71001,0.002351,0.005022,0.001499
14593,2019/02/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.03000,26111462,0.006435,4715280,4,4,171.19000,0.002105,0.001534,0.001777
14593,2019/02/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,171.06000,17247080,-0.005639,4715280,4,4,171.80000,-0.003534,-0.001722,-0.003526
14593,2019/02/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.97000,18907829,0.011166,4715280,4,4,171.58000,0.006367,0.007815,0.006411
14593,2019/02/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.23000,21870758,0.007284,4715280,4,4,174.16000,0.001355,0.002548,0.001232
14593,2019/02/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.33000,17068911,0.000574,4715280,4,4,173.71001,-0.001496,-0.002209,-0.000790
14593,2019/02/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.87000,27832500,0.003098,4715280,4,4,173.21001,0.000503,0.000165,-0.000544
14593,2019/02/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,173.14999,28214816,-0.009836,4715280,4,4,174.32001,-0.002832,-0.003329,-0.002826
14593,2019/03/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.97000,25884817,0.010511,4715280,4,4,174.28000,0.006074,0.005596,0.006895
14593,2019/03/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.85001,27448424,0.005029,4715280,4,4,175.69000,-0.004235,-0.002059,-0.003881
14593,2019/03/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,175.53000,19735919,-0.001820,4715280,4,4,175.94000,-0.001320,-0.001251,-0.001131
14593,2019/03/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,174.52000,20832292,-0.005754,4715280,4,4,174.67000,-0.007768,-0.012423,-0.006524
14593,2019/03/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,172.50000,24795166,-0.011575,4715280,4,4,173.87000,-0.007494,-0.005773,-0.008126
