secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2020/01/02,2020/01/10,2020/01/02,P,220000,0,0.02,25,0.700861,-0.00112,0.00012,0.166207,-2.654113,131486341,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,225000,0,0.02,97,0.653894,-0.001196,0.000137,0.17652,-2.630219,131486342,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,230000,0,0.03,1292,0.630349,-0.001802,0.000206,0.25704,-3.683867,131486343,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,232500,0,0.04,10,0.62373,-0.002372,0.000267,0.329113,-4.678304,131486344,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,235000,0,0.03,119,0.583572,-0.001938,0.000238,0.274352,-3.643561,131486345,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,237500,0.02,0.03,127,0.589241,-0.003071,0.000357,0.417529,-5.579423,131486346,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,240000,0.01,0.03,784,0.552768,-0.002657,0.000334,0.365407,-4.593629,131486347,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,242500,0.02,0.04,510,0.551987,-0.003859,0.000468,0.511625,-6.414882,131486348,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,245000,0.02,0.04,146,0.528031,-0.004023,0.000508,0.530693,-6.368392,131486349,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,247500,0.03,0.06,211,0.527576,-0.00583,0.000708,0.739378,-8.854624,131486350,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,250000,0.04,0.05,1022,0.503026,-0.006094,0.000772,0.768924,-8.779894,131486351,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,252500,0.04,0.09,26,0.500508,-0.008547,0.001046,1.033865,-11.77083,131486352,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,255000,0.02,0.13,1464,0.484145,-0.010029,0.001243,1.192486,-13.09124,131486353,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,257500,0.08,0.1,597,0.470032,-0.012143,0.001512,1.405869,-15.0055,131486354,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,260000,0.1,0.12,423,0.456937,-0.014919,0.001858,1.678428,-17.41915,131486355,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,262500,0.13,0.2,283,0.457925,-0.021366,0.002518,2.274459,-23.70644,131486356,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,265000,0.13,0.15,646,0.419403,-0.02,0.002599,2.152821,-20.5227,131486357,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,267500,0.16,0.18,404,0.40495,-0.024517,0.003197,2.555764,-23.52365,131486358,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,270000,0.19,0.2,1512,0.386286,-0.028863,0.00384,2.936,-25.70218,131486359,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,272500,0.22,0.24,446,0.368991,-0.034745,0.004686,3.415565,-28.60203,131486360,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,275000,0.27,0.28,2979,0.352091,-0.042314,0.005766,4.01588,-32.02839,131486361,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,277500,0.32,0.33,748,0.333768,-0.051236,0.007091,4.671384,-35.37647,131486362,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,280000,0.4,0.42,3960,0.319408,-0.064941,0.008928,5.637367,-40.75967,131486363,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,282500,0.51,0.53,3029,0.304845,-0.082634,0.011246,6.770527,-46.7266,131486364,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,285000,0.67,0.69,4152,0.29214,-0.107107,0.014207,8.197251,-54.15935,131486365,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,287500,0.91,0.93,2601,0.282173,-0.141115,0.017845,9.955628,-63.38498,131486366,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,290000,1.26,1.27,7851,0.274152,-0.18617,0.021994,11.92099,-73.63265,131486367,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,292500,1.73,1.77,7380,0.268053,-0.243503,0.026306,13.93172,-84.04137,131486368,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,295000,2.4,2.43,10603,0.263908,-0.312992,0.030215,15.76075,-93.35441,131486369,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,297500,3.25,3.3,4618,0.260558,-0.391972,0.033207,17.08485,-99.72516,131486370,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,300000,4.35,4.4,4247,0.259206,-0.47725,0.034622,17.70888,-102.5268,131486371,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,302500,5.65,5.75,1026,0.258427,-0.563671,0.034377,17.5071,-100.7171,131486372,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,305000,7.15,7.3,813,0.256889,-0.647521,0.032658,16.5044,-93.93961,131486373,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,307500,8.9,9.05,201,0.256971,-0.723855,0.029473,14.85393,-84.11446,131701752,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,310000,10.85,11,218,0.258963,-0.788864,0.025386,12.84367,-72.76975,131486374,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,315000,14.95,15.5,3,0.263746,-0.885701,0.016922,8.563127,-48.53408,131486375,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,317500,16.85,18.65,2,0.297536,-0.893025,0.014289,8.190304,-52.4196,131701754,0,APPLE INC,A
101594,2020/01/02,2020/01/10,2020/01/02,P,350000,48.95,51.35,3,0.61729,-0.949291,0.003923,4.633285,-61.99332,131891500,0,APPLE INC,A
