secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2017/01/03,2017/01/13,2017/01/03,P,100000,0.02,0.03,85,0.39241,-0.009605,0.003416,0.496151,-3.53938,114014726,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,102000,0.04,0.05,406,0.376072,-0.016924,0.005816,0.809308,-5.533267,114014728,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,104000,0.04,0.05,10,0.327326,-0.019199,0.00744,0.900059,-5.360022,114014730,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,105000,0.05,0.06,30,0.312836,-0.023896,0.009367,1.080911,-6.162376,114014731,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,106000,0.06,0.07,22,0.296137,-0.029079,0.011657,1.277315,-6.870297,114014732,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,107000,0.07,0.08,335,0.277639,-0.034911,0.014458,1.482691,-7.48714,114014733,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,108000,0.08,0.1,70,0.260465,-0.043288,0.018359,1.768665,-8.36374,114014734,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,109000,0.1,0.12,403,0.243445,-0.054606,0.02365,2.12302,-9.406813,114014735,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,110000,0.14,0.15,1426,0.229534,-0.072698,0.03134,2.659154,-11.07435,114014736,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,111000,0.17,0.2,97,0.212886,-0.095097,0.041345,3.25427,-12.55635,114014737,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,112000,0.25,0.26,631,0.199636,-0.130685,0.055343,4.080603,-14.76405,114014738,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,113000,0.37,0.39,1525,0.190974,-0.186392,0.073065,5.159119,-17.81187,114014739,0,APPLE INC,A
101594,2017/01/03,2017/01/13,2017/01/03,P,114000,0.56,0.6,1355,0.185228,-0.264192,0.091877,6.287288,-21.03186,114014740,0,APPLE INC,A
