PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2016/01/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,105.35000,69383612,0.000855,5544487,4,4,102.61000,-0.014904,-0.012346,-0.015304
14593,2016/01/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,102.71000,55791042,-0.025059,5544487,4,4,105.75000,0.001397,0.000358,0.002012
14593,2016/01/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,100.70000,68487388,-0.019570,5544487,4,4,100.56000,-0.013816,-0.013461,-0.013115
14593,2016/01/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.45000,81466204,-0.042205,5544487,4,4,98.68000,-0.023932,-0.024817,-0.023700
14593,2016/01/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.96000,70798746,0.005288,5544583,4,4,98.55000,-0.010947,-0.010280,-0.010838
14593,2016/01/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,98.53000,49739377,0.016192,5544583,4,4,98.97000,-0.001733,-0.011470,0.000853
14593,2016/01/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,99.96000,49156327,0.014513,5544583,4,4,100.55000,0.006084,-0.002801,0.007803
14593,2016/01/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,97.39000,62447131,-0.025710,5544583,4,4,100.32000,-0.025861,-0.025334,-0.024965
14593,2016/01/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,99.52000,63170127,0.021871,5544583,4,4,97.96000,0.015451,0.011798,0.016696
14593,2016/01/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,97.13000,76013891,-0.024015,5544583,4,4,96.20000,-0.021693,-0.021013,-0.021599
14593,2016/01/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.66000,53089747,-0.004839,5544583,4,4,98.41000,-0.002415,-0.011550,0.000532
14593,2016/01/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.79000,72334416,0.001345,5544583,4,4,95.10000,-0.010596,-0.006012,-0.011694
14593,2016/01/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.30000,52161853,-0.005062,5544583,4,4,97.06000,0.005660,0.009705,0.005195
14593,2016/01/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,101.42000,66193210,0.053167,5544583,4,4,98.63000,0.022499,0.024274,0.020284
14593,2016/01/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,99.44000,51794525,-0.019523,5544583,4,4,101.52000,-0.016689,-0.015854,-0.015638
14593,2016/01/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,99.99000,75077030,0.005531,5544583,4,4,99.93000,0.015933,0.016783,0.014144
14593,2016/01/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,93.42000,133374674,-0.065707,5544583,4,4,96.04000,-0.010556,-0.007908,-0.010863
14593,2016/01/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,94.09000,55679325,0.007172,5544583,4,4,93.79000,0.005040,0.003096,0.005529
14593,2016/01/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,97.34000,64416906,0.034541,5544583,4,4,94.79000,0.024568,0.022985,0.024760
14593,2016/02/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,96.43000,40943541,-0.009349,5544583,4,4,96.47000,-0.000349,-0.001283,-0.000443
