secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2019/01/02,2019/01/18,2019/01/02,P,370000,210.4,214.4,4,1.875967,-0.978197,0.000963,1.694046,-33.1417,120531461,0,APPLE INC,A
101594,2019/01/02,2019/01/18,2019/01/02,P,85000,0,0.01,2,0.940547,-0.000576,0.000065,0.067026,-0.717513,113098049,0,APPLE INC,A
101594,2019/01/02,2019/01/18,2019/01/02,P,95000,0,0.01,142,0.780681,-0.000691,0.000093,0.079464,-0.703604,113098051,0,APPLE INC,A
101594,2019/01/02,2019/01/18,2019/01/02,P,97500,0,0.01,2,0.743205,-0.000725,0.000102,0.083085,-0.69974,113098052,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,115000,0,0.04,404,0.763259,-0.003342,0.000534,0.251159,-3.863472,127288038,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,118000,0.01,0.04,5,0.723868,-0.004311,0.000707,0.314619,-4.601299,127351206,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,119000,0,0.04,1,0.688075,-0.003687,0.000647,0.273941,-3.802365,127351207,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,121000,0,0.03,15,0.631963,-0.00307,0.000597,0.232824,-2.96135,127351208,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,125000,0.03,0.04,68,0.617216,-0.006804,0.001244,0.471573,-5.880626,127024079,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,126000,0.03,0.04,5,0.598432,-0.007003,0.001316,0.48347,-5.848087,127351212,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,127000,0.04,0.05,15,0.598164,-0.008796,0.001609,0.591978,-7.141809,127351213,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,128000,0.04,0.06,2,0.587012,-0.009843,0.001809,0.654303,-7.731692,127351214,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,129000,0.05,0.06,228,0.575018,-0.010932,0.002023,0.716735,-8.297202,127351215,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,130000,0.06,0.07,70,0.568563,-0.012836,0.002352,0.821825,-9.42798,127024080,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,131000,0.07,0.08,2,0.560277,-0.014791,0.002697,0.92942,-10.49596,127351216,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,132000,0.08,0.09,37,0.550504,-0.016809,0.003063,1.038038,-11.5057,127351217,0,APPLE INC,A
101594,2019/01/02,2019/01/11,2019/01/02,P,133000,0.09,0.11,15,0.543823,-0.019643,0.00354,1.182248,-12.97724,127351218,0,APPLE INC,A
