PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2020/01/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,300.35001,33884314,0.022816,4384027,4,4,296.23999,0.007412,0.005470,0.008379
14593,2020/01/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,297.42999,36604600,-0.009722,4384027,4,4,297.14999,-0.005828,-0.003057,-0.007060
14593,2020/01/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,299.79999,29597401,0.007968,4384027,4,4,293.79001,0.003269,0.004548,0.003533
14593,2020/01/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,298.39001,27864170,-0.004703,4384027,4,4,299.84000,-0.002147,-0.000041,-0.002803
14593,2020/01/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,303.19000,33060420,0.016086,4384027,4,4,297.16000,0.004028,0.000914,0.004902
14593,2020/01/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,309.63000,42591634,0.021241,4384027,4,4,307.23499,0.005831,0.002941,0.006655
14593,2020/01/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,310.32999,35186623,0.002261,4384027,4,4,310.60001,-0.002578,-0.001247,-0.002855
14593,2020/01/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,316.95999,30502330,0.021364,4384027,4,4,311.64001,0.007077,0.004614,0.006976
14593,2020/01/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,312.67999,40621057,-0.013503,4384027,4,4,316.70001,-0.000394,0.002920,-0.001515
14593,2020/01/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,311.34000,30452727,-0.004286,4384027,4,4,311.85001,0.001938,0.003106,0.001870
14593,2020/01/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,315.23999,27627154,0.012526,4384027,4,4,313.59000,0.008389,0.009900,0.008367
14593,2020/01/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,318.73001,34420045,0.011071,4375480,4,4,316.26999,0.002523,-0.000518,0.003862
14593,2020/01/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,316.57001,27674778,-0.006777,4375480,4,4,317.19000,-0.003027,-0.004034,-0.002652
14593,2020/01/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,317.70001,25432169,0.003570,4375480,4,4,318.57999,0.000376,-0.001240,0.000289
14593,2020/01/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,319.23001,26094188,0.004816,4375480,4,4,317.92001,0.001000,-0.001272,0.001141
14593,2020/01/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,318.31000,36599802,-0.002882,4375480,4,4,320.25000,-0.008836,-0.010013,-0.009042
14593,2020/01/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,308.95001,40414808,-0.029405,4375480,4,4,310.06000,-0.014872,-0.013417,-0.015731
14593,2020/01/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,317.69000,40519265,0.028289,4375480,4,4,312.60001,0.009614,0.007312,0.010054
14593,2020/01/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,324.34000,54084956,0.020932,4375480,4,4,324.45001,-0.001160,-0.003777,-0.000867
14593,2020/01/30,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,323.87000,31655940,-0.001449,4375480,4,4,320.54401,0.002780,-0.003303,0.003134
14593,2020/01/31,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,309.51001,49774162,-0.044339,4375480,4,4,320.92999,-0.016642,-0.014389,-0.017706
14593,2020/02/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,308.66000,43429346,-0.002746,4375480,4,4,304.29999,0.007562,0.004585,0.007255
14593,2020/02/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,318.85001,34121782,0.033014,4375480,4,4,315.31000,0.014853,0.010742,0.014980
14593,2020/02/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,321.45001,29676769,0.008154,4375480,4,4,323.51999,0.009336,0.011625,0.011251
14593,2020/02/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,325.20999,26335234,0.011697,4375480,4,4,322.57001,0.002601,-0.001729,0.003326
14593,2020/02/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,320.03000,29385908,-0.013560,4375480,4,4,322.37000,-0.005527,-0.008712,-0.005401
14593,2020/02/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,321.54999,27300253,0.004750,4375480,4,4,314.17999,0.006756,0.002496,0.007326
14593,2020/02/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,319.60999,23553383,-0.006033,4375480,4,4,323.60001,0.003402,0.005309,0.001688
14593,2020/02/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,327.20001,28389294,0.023748,4375480,4,4,321.47000,0.006406,0.005858,0.006463
14593,2020/02/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,324.87000,23664270,-0.007121,4375480,4,4,324.19000,-0.000773,-0.001469,-0.001630
14593,2020/02/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,324.95001,20012702,0.000246,4375480,4,4,324.73999,0.001660,-0.000396,0.001844
14593,2020/02/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,319.00000,38134455,-0.018311,4375480,4,4,315.35999,-0.001944,-0.000244,-0.002920
14593,2020/02/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,323.62000,23475508,0.014483,4375480,4,4,320.00000,0.005179,0.005293,0.004706
14593,2020/02/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,320.29999,25104231,-0.010259,4375480,4,4,322.63000,-0.002604,0.002578,-0.003816
14593,2020/02/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,313.04999,32382677,-0.022635,4375480,4,4,318.62000,-0.009789,-0.006579,-0.010518
14593,2020/02/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,298.17999,55358969,-0.047500,4375480,4,4,297.26001,-0.031760,-0.025365,-0.033514
